city,loc,pop,state,zip
RANDOLPH,-71.051392,30057,MA,2368
ROCKLAND,-70.913263,16123,MA,2370
SOUTH EASTON,-71.098814,9247,MA,2375
WEST BRIDGEWATER,-71.016054,6440,MA,2379
WHITMAN,-70.938127,13208,MA,2382
BROCKTON,-71.034348,59498,MA,2401
BROCKTON,-71.001947,33290,MA,2402
ONSET,-70.593168,12047,MA,2532
CHILMARK,-70.741613,952,MA,2535
TEATICKET,-70.565174,15976,MA,2536
EAST SANDWICH,-70.46822,7254,MA,2537
EAST WAREHAM,-70.653237,4778,MA,2538
EDGARTOWN,-70.533893,3062,MA,2539
FALMOUTH,-70.621663,8588,MA,2540
OTIS A F B,-70.57383,2078,MA,2542
WOODS HOLE,-70.66431,833,MA,2543
NANTUCKET,-70.093216,6012,MA,2554
NORTH FALMOUTH,-70.623043,2651,MA,2556
POCASSET,-70.610512,3907,MA,2559
SANDWICH,-70.469325,9007,MA,2563
VINEYARD HAVEN,-70.593737,5924,MA,2568
WAREHAM,-70.711594,9304,MA,2571
WEST TISBURY,-70.655802,1603,MA,2575
WEST WAREHAM,-70.764179,3919,MA,2576
WEST YARMOUTH,-70.298176,14543,MA,2601
BARNSTABLE,-70.300067,1776,MA,2630
BREWSTER,-70.069868,8535,MA,2631
CENTERVILLE,-70.353196,10636,MA,2632
SOUTH CHATHAM,-69.980758,4744,MA,2633
COTUIT,-70.433431,3266,MA,2635
DENNIS,-70.191054,3216,MA,2638
DENNIS PORT,-70.132711,2510,MA,2639
EASTHAM,-69.984865,4582,MA,2642
FORESTDALE,-70.514317,2712,MA,2644
HARWICH,-70.057929,7363,MA,2645
HARWICH PORT,-70.076755,1843,MA,2646
MARSTONS MILLS,-70.416321,5777,MA,2648
MASHPEE,-70.485361,4469,MA,2649
NORTH CHATHAM,-69.966607,995,MA,2650
NORTH TRURO,-70.08751,834,MA,2652
ORLEANS,-69.982198,5860,MA,2653
OSTERVILLE,-70.383726,2330,MA,2655
PROVINCETOWN,-70.186504,3561,MA,2657
SOUTH CHATHAM,-70.024106,840,MA,2659
SOUTH DENNIS,-70.15851,6680,MA,2660
BASS RIVER,-70.19731,8514,MA,2664
TRURO,-70.056362,739,MA,2666
WELLFLEET,-70.018587,2373,MA,2667
WEST BARNSTABLE,-70.371985,2311,MA,2668
WEST DENNIS,-70.168092,1347,MA,2670
WEST HARWICH,-70.113501,1061,MA,2671
WEST YARMOUTH,-70.236297,6972,MA,2673
YARMOUTH PORT,-70.227014,5735,MA,2675
ASSONET,-71.060736,3614,MA,2702
ATTLEBORO,-71.30092,38528,MA,2703
CUTTYHUNK,-70.87854,98,MA,2713
DIGHTON,-71.142723,1828,MA,2715
EAST FREETOWN,-70.967709,4883,MA,2717
EAST TAUNTON,-71.019225,4800,MA,2718
FAIRHAVEN,-70.889608,16141,MA,2719
FALL RIVER,-71.139991,30600,MA,2720
FALL RIVER,-71.157424,26884,MA,2721
FALL RIVER,-71.133214,16801,MA,2723
FALL RIVER,-71.174822,18141,MA,2724
SOMERSET,-71.177971,2528,MA,2725
SOMERSET,-71.149206,15117,MA,2726
MARION,-70.761261,4496,MA,2738
MATTAPOISETT,-70.816357,5850,MA,2739
NEW BEDFORD,-70.9372,46426,MA,2740
ACUSHNET,-70.908652,9601,MA,2743
NEW BEDFORD,-70.916746,13424,MA,2744
NEW BEDFORD,-70.935545,23661,MA,2745
